wafer_id,Time,Step Number,BCl3 Flow,Cl2 Flow,RF Btm Pwr,RF Btm Rfl Pwr,Endpt A,He Press,Pressure,RF Tuner,RF Load,RF Phase Err,RF Pwr,RF Impedance,TCP Tuner,TCP Phase Err,TCP Impedance,TCP Top Pwr,TCP Rfl Pwr,TCP Load,Vat Valve,result
l2901.txm,25.6689,4.0,751.0,753.0,139.0,0.0,1535.0,99.0,1186.0,9412.0,9077.0,-1584.0,25.0,16730.0,19448.0,87.0,16852.0,346.0,0.0,27856.0,49.0,Pass
l2901.txm,26.689,4.0,752.0,753.0,136.0,0.0,1545.0,101.0,1186.0,9432.0,9091.0,-920.0,25.0,16535.0,19468.0,-307.0,16690.0,343.0,0.0,27856.0,49.0,Pass
l2901.txm,27.715,4.0,751.0,753.0,133.0,0.0,1565.0,100.0,1187.0,9413.0,9070.0,-356.0,25.0,16424.0,19464.0,-42.0,16708.0,349.0,1.0,27850.0,49.0,Pass
l2901.txm,28.7369,4.0,751.0,753.0,132.0,0.0,1580.0,100.0,1187.0,9396.0,9069.0,-452.0,25.0,16484.0,19478.0,194.0,16566.0,348.0,0.0,27862.0,49.0,Pass
l2901.txm,29.861,4.0,752.0,754.0,136.0,0.0,1592.0,101.0,1187.0,9431.0,9097.0,-1423.0,24.0,16701.0,19454.0,89.0,15744.0,358.0,1.0,27858.0,49.0,Pass
l2901.txm,30.834,4.0,752.0,753.0,135.0,0.0,1599.0,100.0,1184.0,9407.0,9071.0,-931.0,24.0,16539.0,19360.0,692.0,16184.0,353.0,0.0,27866.0,49.0,Pass
l2901.txm,31.853,4.0,752.0,753.0,141.0,0.0,1607.0,100.0,1184.0,9383.0,9136.0,-1194.0,24.0,16532.0,19360.0,129.0,16856.0,351.0,0.0,27898.0,49.0,Pass
l2901.txm,32.8829,4.0,752.0,753.0,133.0,0.0,1602.0,101.0,1185.0,9399.0,9044.0,-832.0,24.0,16781.0,19372.0,498.0,16474.0,353.0,1.0,27900.0,49.0,Pass
l2901.txm,33.9089,4.0,752.0,753.0,133.0,0.0,1611.0,101.0,1186.0,9444.0,9032.0,-706.0,24.0,16564.0,19358.0,129.0,16764.0,357.0,0.0,27920.0,49.0,Pass
l2901.txm,34.929,4.0,752.0,753.0,136.0,0.0,1611.0,101.0,1187.0,9373.0,9072.0,-808.0,24.0,16474.0,19396.0,144.0,16858.0,349.0,1.0,27898.0,49.0,Pass
l2901.txm,35.958,4.0,751.0,752.0,133.0,0.0,1606.0,101.0,1189.0,9387.0,9057.0,-330.0,24.0,16164.0,19380.0,504.0,16182.0,345.0,1.0,27966.0,49.0,Pass
l2901.txm,36.988,4.0,751.0,753.0,134.0,0.0,1610.0,101.0,1187.0,9400.0,9085.0,-892.0,24.0,16253.0,19350.0,146.0,16536.0,348.0,0.0,27938.0,49.0,Pass
l2901.txm,38.0079,4.0,752.0,754.0,131.0,0.0,1602.0,101.0,1185.0,9368.0,9122.0,-1270.0,23.0,16681.0,19372.0,86.0,16214.0,354.0,0.0,27930.0,49.0,Pass
l2901.txm,39.109,4.0,752.0,753.0,132.0,0.0,1612.0,101.0,1187.0,9441.0,9073.0,-1062.0,24.0,16430.0,19388.0,58.0,16768.0,358.0,0.0,27908.0,49.0,Pass
l2901.txm,40.129,4.0,751.0,754.0,134.0,0.0,1608.0,101.0,1186.0,9369.0,9090.0,-2202.0,24.0,16445.0,19382.0,-11.0,16394.0,347.0,0.0,27832.0,49.0,Pass
l2901.txm,41.1489,4.0,751.0,753.0,132.0,0.0,1611.0,101.0,1186.0,9461.0,9105.0,-1077.0,24.0,16288.0,19354.0,-61.0,16298.0,354.0,0.0,28012.0,49.0,Pass
l2901.txm,42.1689,4.0,751.0,754.0,135.0,0.0,1612.0,99.0,1186.0,9431.0,9039.0,-1294.0,24.0,16115.0,19344.0,118.0,16804.0,349.0,0.0,27914.0,49.0,Pass
l2901.txm,43.189,4.0,751.0,754.0,134.0,0.0,1621.0,100.0,1187.0,9380.0,9050.0,-1457.0,23.0,16574.0,19350.0,612.0,17028.0,347.0,0.0,27866.0,49.0,Pass
l2901.txm,44.209,4.0,752.0,753.0,134.0,0.0,1619.0,101.0,1186.0,9427.0,9063.0,-1023.0,24.0,16233.0,19368.0,-289.0,16558.0,348.0,0.0,27838.0,49.0,Pass
l2901.txm,45.238,4.0,752.0,753.0,133.0,0.0,1613.0,101.0,1186.0,9435.0,9036.0,-921.0,24.0,16381.0,19372.0,-64.0,16628.0,351.0,0.0,27778.0,49.0,Pass
l2901.txm,46.3359,4.0,752.0,752.0,136.0,0.0,1613.0,101.0,1186.0,9398.0,9111.0,-1200.0,24.0,16567.0,19348.0,120.0,16460.0,349.0,0.0,27864.0,49.0,Pass
l2901.txm,47.349,4.0,751.0,753.0,133.0,0.0,1614.0,102.0,1186.0,9396.0,9087.0,-1331.0,24.0,16344.0,19332.0,-94.0,16690.0,360.0,0.0,27850.0,49.0,Pass
l2901.txm,48.369,4.0,752.0,753.0,130.0,0.0,1616.0,100.0,1185.0,9447.0,9075.0,-1850.0,24.0,16600.0,19358.0,5.0,16632.0,354.0,0.0,27908.0,49.0,Pass
l2901.txm,49.4509,4.0,751.0,753.0,133.0,0.0,1616.0,100.0,1185.0,9430.0,9051.0,-183.0,24.0,16661.0,19360.0,-326.0,16972.0,345.0,1.0,27838.0,49.0,Pass
l2901.txm,50.478,4.0,752.0,753.0,136.0,0.0,1619.0,100.0,1187.0,9471.0,9045.0,-1261.0,24.0,16493.0,19328.0,30.0,15852.0,353.0,1.0,27880.0,49.0,Pass
l2901.txm,51.589,4.0,752.0,754.0,133.0,0.0,1616.0,100.0,1186.0,9398.0,9059.0,-1594.0,23.0,16236.0,19362.0,145.0,16412.0,343.0,0.0,28014.0,49.0,Pass
l2901.txm,52.609,4.0,752.0,753.0,134.0,0.0,1618.0,101.0,1187.0,9483.0,9030.0,-1297.0,24.0,16593.0,19334.0,-259.0,16842.0,347.0,0.0,27884.0,49.0,Pass
l2901.txm,53.728,4.0,752.0,753.0,133.0,0.0,1620.0,101.0,1185.0,9421.0,9052.0,-463.0,24.0,16344.0,19352.0,44.0,16874.0,348.0,0.0,27954.0,49.0,Pass
l2901.txm,54.8199,4.0,751.0,751.0,134.0,0.0,1618.0,100.0,1186.0,9374.0,9081.0,-1443.0,24.0,16447.0,19352.0,72.0,16454.0,350.0,1.0,28012.0,49.0,Pass
l2901.txm,55.844,4.0,752.0,754.0,134.0,0.0,1611.0,101.0,1185.0,9408.0,9075.0,-1419.0,23.0,16584.0,19348.0,-439.0,16874.0,342.0,0.0,27890.0,49.0,Pass
l2901.txm,56.859,4.0,752.0,753.0,129.0,0.0,1612.0,101.0,1186.0,9399.0,9050.0,-647.0,23.0,16007.0,19330.0,-339.0,16852.0,346.0,0.0,27828.0,49.0,Pass
l2901.txm,57.879,4.0,752.0,753.0,136.0,0.0,1613.0,100.0,1186.0,9438.0,9065.0,-800.0,24.0,16630.0,19332.0,-426.0,16764.0,351.0,0.0,27908.0,49.0,Pass
l2901.txm,58.958,4.0,752.0,753.0,136.0,0.0,1605.0,101.0,1185.0,9406.0,9066.0,-1827.0,24.0,16700.0,19350.0,159.0,16442.0,343.0,0.0,27846.0,49.0,Pass
l2901.txm,59.979,4.0,752.0,754.0,132.0,0.0,1596.0,101.0,1186.0,9434.0,9033.0,-113.0,24.0,16027.0,19352.0,332.0,16510.0,349.0,0.0,27878.0,49.0,Pass
l2901.txm,60.999,4.0,752.0,755.0,131.0,0.0,1524.0,101.0,1190.0,9424.0,9130.0,178.0,22.0,16538.0,19348.0,-23.0,16848.0,345.0,0.0,27772.0,49.0,Pass
l2901.txm,62.028,4.0,753.0,753.0,133.0,0.0,1318.0,102.0,1193.0,9488.0,9046.0,553.0,22.0,16420.0,19534.0,-853.0,16594.0,355.0,0.0,27764.0,49.0,Pass
l2901.txm,63.058,4.0,752.0,752.0,132.0,0.0,1110.0,100.0,1191.0,9445.0,9020.0,693.0,23.0,16504.0,19620.0,-428.0,16726.0,349.0,0.0,27778.0,49.0,Pass
l2901.txm,64.088,4.0,752.0,754.0,133.0,0.0,960.0,101.0,1190.0,9502.0,9012.0,432.0,23.0,16826.0,19748.0,-399.0,16558.0,345.0,0.0,27632.0,49.0,Pass
l2901.txm,65.559,4.0,751.0,753.0,134.0,0.0,842.0,102.0,1187.0,9411.0,9071.0,955.0,22.0,16793.0,19830.0,-622.0,16486.0,354.0,0.0,27566.0,50.0,Pass
l2901.txm,66.5289,5.0,752.0,754.0,134.0,0.0,702.0,101.0,1222.0,9494.0,9001.0,-1005.0,24.0,16483.0,19944.0,-8.0,16442.0,351.0,0.0,27510.0,49.0,Pass
l2901.txm,67.548,5.0,751.0,753.0,131.0,0.0,691.0,101.0,1205.0,9429.0,9076.0,-93.0,23.0,16632.0,20030.0,-318.0,16518.0,343.0,0.0,27518.0,50.0,Pass
l2901.txm,68.568,5.0,752.0,753.0,131.0,0.0,685.0,102.0,1182.0,9450.0,9104.0,1013.0,22.0,16677.0,19942.0,-506.0,16700.0,347.0,0.0,27484.0,50.0,Pass
l2901.txm,69.599,5.0,752.0,754.0,133.0,0.0,678.0,100.0,1182.0,9515.0,9037.0,577.0,22.0,16600.0,19962.0,-446.0,16836.0,344.0,0.0,27498.0,50.0,Pass
l2901.txm,70.6279,5.0,751.0,753.0,133.0,0.0,668.0,100.0,1187.0,9490.0,9031.0,50.0,22.0,16703.0,20014.0,-629.0,16612.0,347.0,0.0,27500.0,50.0,Pass
l2901.txm,71.6489,5.0,752.0,753.0,134.0,0.0,663.0,101.0,1184.0,9454.0,9020.0,670.0,22.0,16827.0,20002.0,-289.0,16740.0,360.0,0.0,27490.0,50.0,Pass
l2901.txm,72.67,5.0,751.0,753.0,132.0,0.0,658.0,101.0,1184.0,9429.0,9083.0,-474.0,22.0,16698.0,19968.0,-322.0,16720.0,349.0,0.0,27490.0,50.0,Pass
l2901.txm,73.689,5.0,752.0,754.0,135.0,0.0,651.0,100.0,1183.0,9453.0,9062.0,-88.0,23.0,16461.0,20016.0,-268.0,16260.0,347.0,0.0,27356.0,50.0,Pass
l2901.txm,74.709,5.0,752.0,754.0,132.0,0.0,644.0,100.0,1184.0,9478.0,8997.0,-597.0,23.0,16821.0,20026.0,-436.0,16636.0,342.0,0.0,27372.0,50.0,Pass
l2901.txm,75.738,5.0,752.0,753.0,133.0,0.0,635.0,102.0,1183.0,9489.0,9015.0,-630.0,23.0,16475.0,20054.0,-80.0,16652.0,342.0,0.0,27266.0,50.0,Pass
l2901.txm,76.795,5.0,751.0,754.0,132.0,0.0,622.0,100.0,1183.0,9488.0,9025.0,-1318.0,23.0,16533.0,20056.0,-37.0,16782.0,353.0,0.0,27512.0,50.0,Pass
l2901.txm,77.778,5.0,752.0,753.0,132.0,0.0,612.0,100.0,1182.0,9471.0,9016.0,-1538.0,24.0,16226.0,20078.0,-83.0,16766.0,351.0,0.0,27298.0,50.0,Pass
l2901.txm,78.798,5.0,752.0,751.0,135.0,0.0,582.0,101.0,1178.0,9456.0,9022.0,-1503.0,25.0,16115.0,20126.0,-324.0,16858.0,349.0,0.0,27244.0,50.0,Pass
l2901.txm,79.83,5.0,752.0,753.0,135.0,0.0,555.0,102.0,1179.0,9486.0,9010.0,-1481.0,25.0,16238.0,20250.0,11.0,16788.0,348.0,0.0,27208.0,49.0,Pass
l2901.txm,80.849,5.0,752.0,753.0,133.0,0.0,547.0,100.0,1180.0,9443.0,9133.0,-1194.0,25.0,16205.0,20300.0,-444.0,16698.0,347.0,0.0,27080.0,49.0,Pass
l2901.txm,81.869,5.0,751.0,753.0,131.0,0.0,541.0,100.0,1180.0,9436.0,9094.0,-1411.0,25.0,15997.0,20318.0,65.0,16568.0,359.0,0.0,27092.0,49.0,Pass
l2901.txm,82.9039,5.0,752.0,754.0,135.0,1.0,588.0,101.0,1195.0,9517.0,9131.0,184.0,21.0,16920.0,20342.0,-3.0,16120.0,350.0,1.0,27320.0,49.0,Pass
l2901.txm,83.9189,5.0,752.0,752.0,132.0,0.0,632.0,101.0,1191.0,9519.0,9100.0,971.0,20.0,16944.0,20102.0,70.0,16926.0,359.0,0.0,27540.0,50.0,Pass
l2901.txm,84.939,5.0,752.0,753.0,135.0,0.0,697.0,100.0,1190.0,9462.0,9122.0,406.0,20.0,17383.0,20084.0,334.0,16350.0,360.0,0.0,27524.0,50.0,Pass
l2901.txm,85.959,5.0,752.0,754.0,135.0,0.0,774.0,101.0,1187.0,9426.0,9087.0,453.0,21.0,16778.0,19958.0,-40.0,16310.0,348.0,0.0,27646.0,50.0,Pass
l2901.txm,86.979,5.0,752.0,754.0,133.0,0.0,853.0,102.0,1186.0,9477.0,8984.0,955.0,20.0,17172.0,19764.0,340.0,16212.0,351.0,0.0,27826.0,50.0,Pass
l2901.txm,88.005,5.0,752.0,753.0,132.0,0.0,945.0,100.0,1190.0,9398.0,9105.0,695.0,20.0,16621.0,19462.0,93.0,16294.0,349.0,1.0,27898.0,50.0,Pass
l2901.txm,89.019,5.0,751.0,752.0,134.0,0.0,981.0,100.0,1184.0,9493.0,8984.0,572.0,20.0,16790.0,19330.0,72.0,16504.0,345.0,0.0,28014.0,50.0,Pass
l2901.txm,90.0389,5.0,752.0,754.0,133.0,0.0,983.0,101.0,1182.0,9463.0,9002.0,650.0,20.0,16728.0,19310.0,500.0,16568.0,358.0,0.0,27882.0,50.0,Pass
l2901.txm,91.63,5.0,752.0,753.0,133.0,0.0,988.0,101.0,1185.0,9441.0,9065.0,555.0,20.0,16752.0,19300.0,-356.0,16464.0,352.0,0.0,27930.0,50.0,Pass
l2901.txm,92.66,5.0,751.0,752.0,134.0,0.0,997.0,100.0,1186.0,9396.0,9094.0,1028.0,20.0,16917.0,19310.0,127.0,16324.0,360.0,0.0,27788.0,50.0,Pass
l2901.txm,93.6899,5.0,751.0,753.0,134.0,0.0,996.0,102.0,1186.0,9453.0,9012.0,675.0,20.0,16985.0,19314.0,666.0,16460.0,353.0,0.0,27940.0,50.0,Pass
l2901.txm,94.709,5.0,752.0,753.0,132.0,0.0,997.0,99.0,1185.0,9465.0,9020.0,847.0,20.0,16951.0,19328.0,119.0,16502.0,355.0,0.0,27942.0,50.0,Pass
l2901.txm,95.729,5.0,752.0,752.0,133.0,0.0,996.0,100.0,1186.0,9422.0,9020.0,225.0,21.0,16803.0,19328.0,39.0,16484.0,358.0,0.0,27978.0,50.0,Pass
l2901.txm,96.749,5.0,752.0,754.0,132.0,0.0,1000.0,101.0,1186.0,9479.0,9010.0,69.0,21.0,16634.0,19302.0,30.0,16500.0,349.0,0.0,27884.0,50.0,Pass
l2901.txm,97.769,5.0,752.0,753.0,132.0,0.0,1004.0,100.0,1186.0,9483.0,8991.0,841.0,20.0,16673.0,19320.0,28.0,16386.0,342.0,0.0,27922.0,50.0,Pass
l2901.txm,98.7889,5.0,752.0,753.0,133.0,0.0,1003.0,101.0,1185.0,9467.0,9001.0,1062.0,20.0,16725.0,19340.0,-289.0,16386.0,351.0,0.0,27792.0,50.0,Pass
l2901.txm,99.809,5.0,752.0,753.0,135.0,0.0,1003.0,102.0,1185.0,9383.0,9058.0,85.0,20.0,16814.0,19298.0,-92.0,16578.0,355.0,0.0,27888.0,50.0,Pass
l2901.txm,100.846,5.0,752.0,753.0,131.0,0.0,1007.0,102.0,1185.0,9469.0,8996.0,892.0,20.0,16851.0,19346.0,122.0,16458.0,346.0,0.0,27922.0,50.0,Pass
l2901.txm,101.869,5.0,752.0,752.0,135.0,0.0,1004.0,101.0,1183.0,9431.0,9037.0,254.0,21.0,16725.0,19298.0,680.0,16374.0,354.0,0.0,27918.0,50.0,Pass
l2901.txm,102.889,5.0,752.0,754.0,131.0,0.0,1014.0,100.0,1185.0,9463.0,8989.0,1158.0,21.0,16801.0,19310.0,-366.0,16578.0,352.0,0.0,27880.0,50.0,Pass
l2901.txm,103.909,5.0,751.0,754.0,132.0,0.0,1014.0,101.0,1186.0,9448.0,9017.0,696.0,21.0,16511.0,19318.0,-375.0,16502.0,360.0,0.0,27896.0,50.0,Pass
l2901.txm,104.929,5.0,750.0,751.0,135.0,0.0,1012.0,101.0,1183.0,9429.0,9020.0,410.0,20.0,16919.0,19306.0,-317.0,16574.0,350.0,0.0,27840.0,50.0,Pass
l2901.txm,105.959,5.0,751.0,752.0,131.0,0.0,1012.0,101.0,1185.0,9491.0,8972.0,420.0,21.0,16784.0,19320.0,-88.0,16558.0,350.0,0.0,27858.0,50.0,Pass
l2901.txm,107.044,5.0,752.0,753.0,136.0,0.0,1015.0,101.0,1186.0,9395.0,9047.0,333.0,20.0,17008.0,19318.0,406.0,16328.0,350.0,0.0,27870.0,50.0,Pass
l2901.txm,108.069,5.0,752.0,755.0,133.0,0.0,1016.0,102.0,1185.0,9475.0,8987.0,327.0,21.0,16881.0,19310.0,42.0,16528.0,352.0,0.0,27850.0,50.0,Pass
l2901.txm,109.089,5.0,752.0,753.0,136.0,0.0,1015.0,102.0,1183.0,9439.0,9022.0,215.0,21.0,16904.0,19302.0,-298.0,16396.0,343.0,0.0,27838.0,50.0,Pass
l2901.txm,110.359,5.0,751.0,753.0,134.0,0.0,1020.0,100.0,1185.0,9465.0,8988.0,372.0,21.0,16937.0,19290.0,-333.0,16396.0,353.0,0.0,27806.0,50.0,Pass
l2901.txm,111.385,5.0,752.0,754.0,132.0,0.0,1018.0,100.0,1184.0,9388.0,9073.0,612.0,20.0,16867.0,19340.0,114.0,16448.0,344.0,0.0,27788.0,50.0,Pass
l2901.txm,112.409,5.0,752.0,753.0,133.0,0.0,1022.0,100.0,1187.0,9457.0,9022.0,876.0,21.0,16564.0,19288.0,-9.0,16528.0,346.0,0.0,27850.0,50.0,Pass
l2901.txm,113.429,5.0,752.0,753.0,135.0,0.0,1018.0,99.0,1184.0,9472.0,9013.0,0.0,21.0,16856.0,19300.0,702.0,16486.0,360.0,0.0,27922.0,50.0,Pass
l2901.txm,114.449,5.0,752.0,753.0,134.0,0.0,1020.0,100.0,1184.0,9400.0,9026.0,126.0,21.0,16786.0,19314.0,752.0,16568.0,344.0,0.0,27874.0,50.0,Pass
l2901.txm,115.474,5.0,752.0,754.0,135.0,0.0,1021.0,100.0,1184.0,9461.0,8987.0,613.0,21.0,16893.0,19298.0,-308.0,16516.0,344.0,0.0,27906.0,50.0,Pass
l2901.txm,117.052,5.0,752.0,754.0,132.0,0.0,1019.0,101.0,1185.0,9382.0,9042.0,518.0,21.0,16628.0,19290.0,139.0,16406.0,356.0,0.0,27876.0,50.0,Pass
l2901.txm,118.039,5.0,752.0,754.0,136.0,0.0,1023.0,100.0,1186.0,9391.0,9054.0,38.0,21.0,17028.0,19310.0,3.0,16470.0,343.0,0.0,27856.0,50.0,Pass
l2901.txm,119.059,5.0,752.0,752.0,131.0,0.0,1019.0,101.0,1184.0,9403.0,8994.0,910.0,21.0,16714.0,19300.0,110.0,16492.0,345.0,0.0,27850.0,50.0,Pass
l2901.txm,120.079,5.0,752.0,753.0,136.0,0.0,1021.0,102.0,1185.0,9384.0,9078.0,435.0,21.0,16691.0,19332.0,120.0,16368.0,341.0,0.0,27880.0,50.0,Pass
l2901.txm,121.103,5.0,751.0,753.0,133.0,0.0,1021.0,100.0,1184.0,9397.0,9027.0,222.0,21.0,16857.0,19294.0,101.0,16502.0,348.0,0.0,27892.0,50.0,Pass
l2901.txm,122.119,5.0,752.0,754.0,133.0,0.0,1028.0,100.0,1184.0,9448.0,8999.0,587.0,21.0,16646.0,19292.0,148.0,16310.0,348.0,0.0,27804.0,50.0,Pass
l2901.txm,123.15,5.0,752.0,754.0,132.0,0.0,1023.0,101.0,1185.0,9412.0,9058.0,538.0,21.0,16753.0,19304.0,-273.0,16424.0,346.0,0.0,28012.0,50.0,Pass
l2901.txm,124.169,5.0,752.0,754.0,132.0,0.0,1023.0,101.0,1184.0,9436.0,9061.0,539.0,21.0,16876.0,19292.0,414.0,16386.0,351.0,0.0,27970.0,50.0,Pass
l2901.txm,125.207,5.0,752.0,754.0,133.0,0.0,1024.0,100.0,1185.0,9438.0,8978.0,303.0,21.0,17014.0,19304.0,678.0,16390.0,350.0,0.0,27848.0,50.0,Pass
l2901.txm,126.229,5.0,752.0,753.0,135.0,0.0,1021.0,100.0,1185.0,9446.0,9002.0,-163.0,21.0,16918.0,19312.0,-18.0,16400.0,345.0,0.0,27918.0,50.0,Pass
l2901.txm,127.259,5.0,751.0,753.0,134.0,0.0,1020.0,100.0,1184.0,9460.0,9003.0,1312.0,20.0,16461.0,19314.0,-9.0,16400.0,356.0,0.0,27930.0,50.0,Pass
l2901.txm,10.3789,4.0,752.0,752.0,131.0,0.0,643.0,101.0,1230.0,9431.0,9029.0,-250.0,25.0,16663.0,20024.0,56.0,16552.0,346.0,0.0,27626.0,49.0,Pass
l2902.txm,10.3789,4.0,752.0,752.0,131.0,0.0,643.0,101.0,1230.0,9431.0,9029.0,-250.0,25.0,16663.0,20024.0,56.0,16552.0,346.0,0.0,27626.0,49.0,Pass
l2902.txm,11.474,4.0,751.0,753.0,132.0,0.0,624.0,101.0,1226.0,9386.0,9101.0,-1179.0,25.0,16663.0,20026.0,11.0,16848.0,352.0,0.0,27604.0,49.0,Pass
l2902.txm,12.9719,4.0,751.0,753.0,134.0,0.0,615.0,101.0,1227.0,9423.0,9044.0,-1417.0,25.0,16763.0,20022.0,31.0,16730.0,357.0,0.0,27484.0,49.0,Pass
l2902.txm,13.9089,4.0,751.0,753.0,134.0,0.0,593.0,101.0,1206.0,9436.0,9066.0,-1204.0,25.0,16581.0,20138.0,-334.0,16576.0,342.0,0.0,27350.0,49.0,Pass
l2902.txm,14.929,4.0,752.0,755.0,133.0,0.0,588.0,101.0,1182.0,9457.0,9081.0,-419.0,25.0,16626.0,20162.0,-601.0,16550.0,354.0,0.0,27246.0,50.0,Pass
l2902.txm,16.028,4.0,751.0,753.0,133.0,0.0,1071.0,102.0,1151.0,9404.0,9055.0,267.0,25.0,16196.0,19896.0,2190.0,15842.0,355.0,1.0,28008.0,49.0,Pass
l2902.txm,17.1129,4.0,751.0,753.0,134.0,0.0,1716.0,99.0,1169.0,9420.0,9090.0,-2060.0,25.0,16553.0,19482.0,-733.0,16188.0,347.0,0.0,27740.0,48.0,Pass
l2902.txm,18.199,4.0,751.0,754.0,132.0,0.0,1700.0,100.0,1196.0,9434.0,9161.0,-318.0,24.0,16939.0,19520.0,342.0,16086.0,353.0,0.0,27878.0,48.0,Pass
l2902.txm,19.278,4.0,752.0,753.0,135.0,1.0,1457.0,101.0,1201.0,9486.0,9094.0,534.0,23.0,16980.0,19552.0,-93.0,16682.0,346.0,0.0,27852.0,48.0,Pass
l2902.txm,20.3579,4.0,751.0,753.0,137.0,0.0,1500.0,100.0,1179.0,9414.0,9067.0,-554.0,24.0,16521.0,19544.0,-310.0,16604.0,350.0,0.0,27888.0,49.0,Pass
l2902.txm,21.3789,4.0,752.0,753.0,135.0,0.0,1542.0,101.0,1178.0,9438.0,9045.0,-2278.0,25.0,16379.0,19530.0,-375.0,16856.0,347.0,0.0,27888.0,49.0,Pass
l2902.txm,22.406,4.0,751.0,752.0,133.0,0.0,1576.0,100.0,1198.0,9413.0,9067.0,-1071.0,24.0,16908.0,19504.0,-636.0,16630.0,349.0,0.0,27896.0,49.0,Pass
l2902.txm,23.4199,4.0,752.0,753.0,133.0,0.0,1579.0,101.0,1184.0,9484.0,9034.0,-1283.0,24.0,16806.0,19560.0,-86.0,16662.0,350.0,0.0,27892.0,49.0,Pass
l2902.txm,24.439,4.0,752.0,753.0,132.0,0.0,1575.0,100.0,1184.0,9401.0,9104.0,-1623.0,24.0,16392.0,19518.0,86.0,16284.0,346.0,1.0,27898.0,49.0,Pass
l2902.txm,25.5389,4.0,752.0,753.0,131.0,0.0,1596.0,101.0,1185.0,9415.0,9081.0,-381.0,24.0,16649.0,19540.0,68.0,16662.0,350.0,0.0,27888.0,49.0,Pass
l2902.txm,26.559,4.0,752.0,753.0,135.0,0.0,1615.0,100.0,1185.0,9445.0,9088.0,-1141.0,24.0,16295.0,19548.0,-325.0,16322.0,358.0,1.0,27868.0,49.0,Pass
l2902.txm,27.579,4.0,752.0,752.0,133.0,0.0,1627.0,101.0,1184.0,9415.0,9043.0,-140.0,23.0,17047.0,19348.0,422.0,16828.0,355.0,1.0,27934.0,49.0,Pass
l2902.txm,28.599,4.0,752.0,753.0,133.0,0.0,1639.0,101.0,1187.0,9438.0,9020.0,-539.0,24.0,16875.0,19350.0,150.0,16710.0,351.0,0.0,27876.0,49.0,Pass
