sensor_060,sensor_104,sensor_511,sensor_349,sensor_022,sensor_029,sensor_437,sensor_130,sensor_125,sensor_296,sensor_317,sensor_301,sensor_126,sensor_295,sensor_027,sensor_034,sensor_080,sensor_453,sensor_131,sensor_065,result
27.8373,-0.0056,87.1111,0.0167,-2727.5,68.7111,200.8486,-0.5677,15.71,1620.7332,5.2778,1.769,0.946,3153.6764,0.8847,8.659,-0.0002,4.4107,0.778,12.1627,불량
25.0836,-0.0059,67.9406,0.037,-6097.75,64.7667,3.3943,-0.5677,15.86,255.566,4.6853,0.043,0.9082,1081.3385,1.7695,9.6234,0.0035,4.1797,0.8038,14.9164,불량
22.6227,-0.0075,94.8247,0.0156,-5521.25,63.3778,0.743,-0.4731,15.84,133.5649,5.2108,0.024,0.8089,444.4295,2.0107,8.6789,0.004,4.4238,0.7589,17.3773,양품
-1.1927,-0.0047,55.0265,0.0473,-6069.75,67.9889,2.2787,0.0,15.8,266.8562,6.4674,0.0303,0.8467,1073.8102,1.7822,8.7977,0.0298,6.0827,0.7661,21.1927,양품
17.6382,-0.0041,125.5385,0.0428,-1431.5,62.5,400.0,0.0,15.8,1239.0,4.9515,1.5345,0.8467,2863.0,0.439,9.2007,0.0573,5.2329,0.7661,22.3618,불량
20.4209,-0.0031,263.4538,0.0449,-2694.75,61.2333,203.9557,-0.0473,15.82,1768.6406,4.9296,1.7229,0.8987,3129.8922,0.8882,9.2007,0.0643,4.1316,0.7446,19.5791,양품
-8.1182,-0.0071,68.5315,0.0113,-5757.25,63.3556,3.8793,-0.0473,15.82,96.8035,6.5511,0.1296,0.8987,301.6514,2.0055,9.1283,-0.0353,5.6105,0.7446,28.1182,양품
-5.5327,-0.0066,89.7338,0.0225,-5612.5,60.2444,2.2842,-0.0473,15.82,145.962,5.8924,0.0383,0.8987,733.2587,1.7835,8.5762,-0.0423,5.3063,0.7446,25.5327,양품
0.4836,-0.0052,102.9126,0.0185,-5575.25,66.2,0.8776,-0.4258,15.84,279.3486,6.8608,0.0296,1.045,441.7317,1.9803,8.6397,-0.0156,6.1211,0.7785,19.5164,양품
22.4736,-0.0016,349.2063,0.0429,-5469.25,65.0778,3.4856,-0.4258,15.84,171.1695,5.2005,0.1167,1.045,432.2865,2.0157,8.6789,0.0673,4.4555,0.7785,17.5264,양품
3.97,-0.0051,87.8049,0.0268,-5441.0,67.2,3.0524,-0.4258,15.84,181.3781,7.2532,0.1039,1.045,103.8813,1.97,8.6572,0.0308,6.1184,0.7785,16.03,양품
0.12,-0.0092,64.3929,0.0241,-5434.0,65.1667,2.6823,-0.4258,15.84,175.7811,6.7289,0.0817,1.045,430.2875,2.0095,8.6397,0.0042,5.9383,0.7785,19.88,양품
-3.6564,-0.0072,42.9066,0.0315,-5310.25,66.3556,2.4268,0.0473,15.88,185.2647,6.6914,0.0851,1.087,286.4628,1.9715,8.6397,0.0498,5.9722,0.7777,23.6564,양품
18.3936,-0.0108,60.1156,0.0386,-2664.25,62.5,205.0885,-0.4731,16.03,1834.1299,5.1588,1.7144,0.9838,3088.6554,0.8915,9.2007,0.0405,5.4097,0.8093,21.6064,불량
15.3536,-0.0076,60.3279,0.0502,-2681.75,64.6778,202.158,0.0946,15.7,1731.3645,5.7899,1.6589,0.7285,3096.6188,0.8862,8.7487,0.0602,5.2309,0.8743,24.6464,양품
2.9964,-0.0071,65.8494,0.0125,-2706.0,67.0333,205.1004,-0.615,16.01,1702.5621,5.196,1.8123,0.9365,3151.2826,0.8895,8.6942,0.0064,4.0309,0.7839,17.0036,양품
-6.9155,-0.0062,48.0962,0.0131,-5611.75,68.0333,2.7947,-0.615,16.01,307.8943,5.45,0.0931,0.9365,243.4904,2.0137,9.7997,0.0055,5.1047,0.7839,26.9155,양품
17.3873,-0.0078,69.6774,0.0461,-5369.0,62.8889,3.0617,-0.0473,16.05,177.2362,4.4239,0.0958,0.9554,190.1736,2.0017,8.9336,0.0615,4.0379,0.6287,22.6127,양품
13.1136,-0.0087,60.6581,0.0539,-5217.5,66.1667,2.7974,-0.615,16.01,334.9113,4.1865,0.0388,0.9365,305.296,1.802,8.8388,0.0775,3.9272,0.7839,26.8864,양품
14.7073,-0.0112,51.8436,0.0487,-5416.0,65.6333,2.5445,-0.0473,15.93,259.6344,6.2102,0.0841,0.6055,117.6124,1.9817,8.7588,0.0602,5.9652,0.8139,25.2927,양품
29.5109,-0.0098,49.1677,0.056,-5500.5,68.6444,1.6694,-0.0473,16.05,172.3359,4.6253,0.0584,0.9554,243.9242,1.9888,23.3453,0.0729,4.2183,0.6287,10.4891,양품
13.1482,-0.0093,59.4595,0.0463,-5497.75,65.3667,2.7617,-0.615,16.01,116.7144,5.8491,0.092,0.9365,131.5862,1.9773,8.8033,0.079,5.3702,0.7839,26.8518,양품
-3.3864,-0.0087,67.6218,0.0311,-5507.75,62.6667,2.1129,0.0946,15.87,172.5097,5.3701,0.0613,0.3122,274.026,1.9745,9.1283,0.032,4.3122,0.8884,23.3864,양품
4.4036,-0.0084,37.9822,0.027,-2622.5,65.4556,202.3184,0.0946,15.87,1820.9743,4.6444,1.7684,0.3122,3040.1658,0.8912,8.8249,0.0567,4.0516,0.8884,15.5964,양품
17.5473,-0.0093,78.7062,0.0433,-6010.25,66.8889,3.1142,-0.0473,15.93,240.0783,4.6263,0.0437,0.6055,993.652,1.7778,8.9336,0.0543,4.0999,0.8139,22.4527,양품
-10.1245,-0.006,95.0,0.0337,-5548.0,66.4778,1.6897,0.0946,15.87,51.9102,4.5125,0.0534,0.3122,242.4967,2.0092,10.0686,0.0122,4.2166,0.8884,30.1245,양품
13.9782,-0.0091,75.513,0.0466,-1362.0,65.2667,400.0,-0.0473,15.93,1420.5,4.5344,1.4395,0.6055,2724.0,0.4407,8.7588,0.0688,4.3818,0.8139,26.0218,양품
13.4891,-0.0087,57.2246,0.0438,-5452.75,65.2222,0.8808,-0.0473,15.93,118.9856,5.9735,0.0264,0.6055,253.4106,1.9728,8.7588,0.0536,5.6377,0.8139,26.5109,양품
24.9027,-0.0033,172.0755,0.0433,-5493.75,68.3222,3.076,-0.0473,15.93,116.2999,4.0902,0.1222,0.6055,34.0722,2.0135,8.659,0.0549,3.9054,0.8139,15.0973,불량
23.4736,-0.0093,40.7507,0.0309,-5525.5,70.5111,0.7846,-1.108,15.96,260.8184,5.4109,0.0281,1.483,77.9081,2.0092,23.3453,0.0024,3.8916,0.8142,16.5264,양품
15.1509,-0.0085,75.2941,0.0428,-5085.25,63.5111,2.1657,-0.0473,15.93,2005.8744,4.1708,0.071,0.6055,876.6031,1.9875,9.1585,0.0593,3.923,0.8139,24.8491,불량
-2.6636,-0.0077,21.9709,0.0128,-5626.25,64.1778,2.004,0.0946,15.87,86.0867,5.8979,0.0641,0.3122,36.8273,1.987,8.6074,-0.0084,6.3399,0.8884,22.6636,양품
-2.4636,-0.0082,70.5167,0.0161,-6033.25,62.2889,2.1196,0.0946,15.87,87.9147,4.9579,0.0613,0.3122,1335.7012,1.97,9.1502,-0.0059,4.1468,0.8884,22.4636,양품
19.3136,-0.0088,42.1053,0.0528,-5415.75,69.0,2.4013,-1.204,16.1,72.7232,4.2384,0.0805,1.252,297.0492,2.0063,10.6376,0.0665,3.7729,0.8034,20.6864,양품
8.3045,-0.0068,76.8946,0.0189,-4731.0,60.8444,133.4481,-0.4258,15.83,1471.4602,5.5408,1.5487,1.125,3280.8927,1.3322,9.1585,0.0103,5.1372,0.7692,31.6955,양품
5.03,-0.0056,113.0045,0.013,-5546.5,69.0667,0.9624,-0.4258,15.83,87.9825,5.3607,0.0335,1.125,134.7207,1.9992,10.6376,0.015,5.2595,0.7692,34.97,불량
12.0945,-0.0071,41.0619,0.0165,-3281.0,63.1333,201.9788,0.0946,15.9,1770.0986,5.1749,1.6924,1.021,3882.2129,0.8885,8.7487,0.0155,4.9499,0.7484,27.9055,양품
23.1373,-0.008,42.7002,0.0253,-4667.25,61.8667,133.904,0.0946,15.9,1586.2346,4.9516,1.4797,1.021,3307.3123,1.3305,9.2007,0.0253,4.8677,0.7484,16.8627,양품
25.0382,-0.0091,96.9697,0.0235,-5300.25,69.0667,1.553,-1.108,15.96,262.8269,4.7265,0.0525,1.483,48.9583,2.0105,23.3453,0.0266,4.8263,0.8142,14.9618,불량
23.3109,-0.0078,18.0064,0.0217,-5553.0,69.5556,1.6511,-0.4258,15.83,83.0682,5.1077,0.0511,1.125,318.781,2.0433,8.7495,0.0073,4.9748,0.7692,16.6891,불량
23.9555,-0.0094,49.0667,0.012,-5394.0,68.3556,2.5771,-0.4258,15.83,157.5423,5.5385,0.0791,1.125,75.7144,2.0032,23.3453,0.0148,5.7172,0.7692,16.0445,불량
21.39,-0.007,90.4847,0.0259,-2575.5,64.4222,200.9041,-0.1419,15.82,1791.2725,4.665,1.7243,0.9933,2980.3803,0.892,8.7487,0.0269,3.7214,0.7304,18.61,양품
1.5882,-0.0075,67.8869,0.0169,-5175.5,67.2667,2.4382,-0.1419,15.82,96.4793,5.5737,0.0909,0.9933,362.8135,2.0,10.6376,0.0159,5.2825,0.7304,38.4118,양품
0.6782,-0.0078,50.0803,0.0184,-5545.0,64.0778,1.3659,0.0946,15.9,134.3577,4.3439,0.0474,1.021,206.3121,1.9772,8.8249,-0.0085,3.4653,0.7484,19.3218,양품
20.0455,-0.007,200.7117,0.0211,-4520.75,62.3667,135.1927,0.0946,15.9,1537.8514,5.3269,1.5182,1.021,3235.5781,1.3458,9.1784,0.0083,4.8115,0.7484,19.9545,양품
21.8964,-0.0087,33.1903,0.0211,-5683.75,64.7111,3.2935,0.0946,15.9,306.3934,5.4366,0.1029,1.021,246.9458,1.9597,9.1784,0.0187,5.1405,0.7484,18.1036,양품
22.8809,-0.0037,111.9454,0.0418,-5460.5,70.0889,2.194,0.0473,15.81,76.4608,5.6503,0.0897,1.021,314.963,2.031,8.7599,0.0817,4.5452,0.7145,17.1191,양품
2.5209,-0.0055,101.1287,0.0168,-1368.75,63.4,400.0,-0.1419,15.82,1307.5,5.1458,1.4795,0.9933,2737.5,0.4425,8.7487,0.0122,5.01,0.7304,37.4791,불량
15.9527,-0.0101,31.6049,0.0397,-4490.5,63.6,134.0533,-0.615,15.71,1560.1131,6.4035,1.5125,1.05,3234.6965,1.3438,9.1784,0.0796,5.8773,0.7382,24.0473,불량
-1.6545,-0.0066,80.0,0.0388,-5433.25,66.7222,1.2248,0.1892,15.72,157.2819,5.5012,0.0441,0.8467,355.3237,2.0187,9.7997,0.0119,5.0184,0.8482,21.6545,양품
6.7391,-0.0038,102.6316,0.0392,-5493.75,68.0222,1.3803,0.0,15.68,190.7658,6.0092,0.0496,0.8703,240.8213,1.9828,10.6376,0.0803,6.3091,0.8485,33.2609,양품
13.8118,-0.0033,218.1818,0.0501,-2597.0,63.9778,201.2587,0.0473,15.73,1713.1426,4.3153,1.6972,0.9034,3007.6466,0.891,8.7588,0.0713,3.8246,0.8434,26.1882,양품
18.3209,-0.0057,66.5208,0.0502,-5507.5,68.0,1.4767,0.0473,15.73,123.2027,5.115,0.0475,0.9034,293.2547,1.9905,8.7599,0.057,4.3162,0.8434,21.6791,불량
16.4582,-0.0057,87.7193,0.0439,-5667.5,63.5778,2.2554,0.3311,15.76,245.6262,5.2632,0.066,0.9365,583.7548,2.012,9.2405,0.0646,4.8093,0.8088,23.5418,양품
9.05,-0.0057,74.7826,0.0193,-5501.75,68.1222,2.8564,0.0,15.78,353.7272,4.4627,0.0999,1.21,270.7513,2.0062,8.7495,0.0049,3.7792,0.7332,30.95,불량
18.8309,-0.0064,54.5809,0.0191,-5382.5,67.8444,4.3579,0.0,15.83,188.7441,5.9995,0.1367,0.9649,428.5545,2.01,8.7495,0.0248,4.4994,0.7608,21.1691,양품
18.2809,-0.0053,89.9297,0.0125,-5659.25,65.1667,3.0133,0.0,15.83,217.4849,4.5431,0.1002,0.9649,74.5537,2.0077,8.6324,0.0264,4.1117,0.7608,21.7191,양품
19.8,-0.0074,53.6913,0.0137,-5349.0,61.6222,2.7784,0.0,15.83,204.0147,5.3492,0.0797,0.9649,247.8266,1.9663,9.2658,0.0193,4.3512,0.7608,20.2,양품
11.6818,-0.007,68.8172,0.0623,-5597.0,65.6333,1.104,0.0,15.83,151.5355,4.3109,0.0329,0.9649,234.3174,1.9752,8.8033,0.0964,4.0625,0.7608,28.3182,양품
22.4345,-0.0054,102.3256,0.0431,-5440.5,68.3444,2.6949,0.0,15.83,63.1684,4.9353,0.1016,0.9649,349.419,2.0045,8.7599,0.0958,3.8448,0.7608,17.5655,양품
17.1627,-0.007,54.5781,0.0111,-5614.25,68.3,2.9104,0.0,15.83,271.4934,4.6734,0.1101,0.9649,312.2738,1.9745,9.6272,0.0089,4.2372,0.7608,22.8373,양품
25.4573,-0.0046,111.4754,0.0369,-5534.5,70.7667,2.2744,-0.3311,15.74,101.9914,4.7397,0.0693,1.031,132.9097,2.018,8.7599,0.048,4.4157,0.7025,14.5427,양품
20.5509,-0.0031,174.8988,0.0178,-2649.25,63.3444,200.6154,0.0473,15.83,1713.3521,4.9899,1.6888,0.9933,3075.2411,0.8882,8.7487,0.0041,4.2929,0.7509,19.4491,양품
18.6827,-0.0078,51.4469,0.0475,-5554.25,65.4667,2.285,-0.3311,15.74,176.3016,5.7303,0.0722,1.031,134.8292,2.021,8.8388,0.1013,5.4793,0.7025,21.3173,양품
25.4427,-0.0055,76.0181,0.0227,-6566.0,65.2889,2.8582,0.8042,15.87,280.7805,4.0636,0.0603,0.7947,295.1305,1.8762,9.094,-0.0015,3.0551,0.8376,14.5573,양품
17.6373,-0.0063,65.3386,0.0232,-5613.75,64.8111,2.4668,0.0473,15.83,1823.7921,5.2115,0.084,0.9933,159.8653,1.99,8.7588,0.0071,4.1518,0.7509,22.3627,양품
24.3509,-0.005,90.0,0.021,-6546.5,64.6444,4.0847,0.8042,15.87,268.8159,4.4431,0.09,0.7947,218.4651,1.8822,9.094,0.0428,4.8614,0.8376,15.6491,양품
12.0627,-0.0071,79.292,0.0286,-5652.0,64.6222,3.2971,0.8042,15.87,347.9132,3.8954,0.1046,0.7947,204.1258,1.9457,9.1784,0.0121,3.5802,0.8376,27.9373,양품
9.5227,-0.0053,54.8463,0.0168,-6656.75,60.9222,1.5633,0.0473,15.83,378.7572,3.9957,0.0216,0.9933,1143.1321,1.7797,9.1585,0.0307,3.7486,0.7509,30.4773,양품
22.9245,-0.0061,98.3607,0.0403,-5681.5,67.5333,1.2934,-0.3311,15.74,75.82,4.746,0.0407,1.031,261.0038,1.9998,8.7495,0.0603,4.2264,0.7025,17.0755,양품
9.3336,-0.0092,39.2906,0.0153,-5537.5,64.0,2.524,0.8042,15.87,400.6599,4.49,0.077,0.7947,143.9873,1.9648,9.1784,0.0397,4.1281,0.8376,30.6664,양품
12.5391,-0.0071,56.6372,0.0395,-5349.25,68.5444,3.8403,-0.4731,15.83,40.3185,4.3171,0.1261,1.05,185.1709,2.0063,10.6376,0.0601,4.0782,0.7489,27.4609,양품
12.4309,-0.0063,68.6627,0.0147,-5495.75,62.8333,1.7283,0.0,15.78,187.2011,5.3995,0.0576,1.21,188.5831,1.9688,9.2658,0.0116,5.2468,0.7332,27.5691,불량
28.6355,-0.0053,68.2464,0.0188,-6518.25,67.5222,2.4697,-0.4731,15.83,263.1862,5.2164,0.0535,1.05,216.6631,1.8967,8.6667,0.0215,4.0081,0.7489,11.3645,양품
8.6927,-0.006,85.5346,0.0436,-4556.0,62.6556,135.2505,0.0473,15.83,1522.3693,4.1082,1.4613,0.9933,3277.3157,1.3362,9.1784,0.0615,3.4169,0.7509,31.3073,양품
-5.3055,-0.0054,46.62,0.0173,-5432.5,64.1667,1.8486,-0.4731,15.83,111.4839,5.2837,0.0557,1.05,237.9447,2.0345,8.9336,-0.0077,4.4635,0.7489,25.3055,양품
-8.7491,-0.0066,30.4762,0.0205,-5677.75,66.6889,2.6454,-0.4731,15.83,155.59,4.8942,0.0834,1.05,310.3464,1.9985,8.755,-0.0066,3.4003,0.7489,28.7491,양품
26.6582,-0.004,62.6959,0.0429,-6174.5,68.9222,2.466,0.0,15.74,322.0445,5.2537,0.0584,0.9082,787.0352,1.881,8.7947,0.0704,5.3581,0.771,13.3418,양품
28.7064,-0.0047,77.2118,0.0466,-5367.75,68.2222,1.2189,0.0,15.74,50.1622,6.8114,0.0444,0.9082,131.0328,2.0093,8.7947,0.0614,6.288,0.771,11.2936,양품
-8.2255,-0.0053,76.815,0.0138,-5393.25,66.0889,1.3022,,,257.5285,4.7156,0.0444,,218.977,1.9872,8.8249,0.0035,3.6677,,28.2255,양품
28.1191,-0.0049,122.7621,0.0455,-5594.25,61.2556,2.0608,0.0,15.74,202.3512,5.2147,0.0462,0.9082,251.8152,1.8807,9.3851,0.0533,4.8994,0.771,11.8809,양품
8.6673,-0.0071,76.5957,0.0195,-2665.5,67.0222,205.2811,-0.3311,15.74,1760.2485,4.6593,1.7832,1.031,3092.805,0.8912,8.6942,-0.0188,4.0959,0.7025,11.3327,양품
3.8509,-0.0061,99.389,0.0189,-5527.0,60.9111,2.6956,0.0473,15.83,113.0262,5.469,0.0805,0.9933,261.3899,1.984,9.1502,0.0065,5.2882,0.7509,16.1491,양품
-15.1964,-0.0063,87.3016,0.0401,-4695.25,65.2,134.6445,,,1424.5622,4.2296,1.6276,,3308.1092,1.3355,8.8388,-0.0265,4.3947,,35.1964,양품
-6.4836,-0.0054,115.3488,0.0106,-5491.5,64.8,1.5027,0.7569,15.68,195.6672,4.1415,0.054,0.894,307.0814,1.9898,8.6942,-0.0316,3.1922,0.786,26.4836,양품
-11.2182,-0.0058,65.2361,0.0106,-5463.25,65.3,1.1027,,,161.5488,4.2605,0.0376,,289.5748,2.0063,9.7997,0.0174,3.5647,,31.2182,양품
11.5591,-0.0052,117.8744,0.0259,-2609.25,62.7556,201.1135,0.0473,15.83,1746.5985,4.1373,1.711,0.9933,3020.4584,0.8925,8.7588,0.0083,3.4174,0.7509,28.4409,불량
28.4227,-0.005,116.5829,0.0432,-5497.75,67.1556,1.0283,0.0473,15.76,196.0466,5.2979,0.0319,1.026,78.6824,2.0083,8.7947,0.0893,4.7187,0.7388,11.5773,양품
24.4727,-0.005,100.7557,0.0342,-5522.25,61.7444,3.1235,0.0473,15.76,201.6538,5.7258,0.0697,1.026,242.5385,1.87,9.3851,0.0544,5.6519,0.7388,15.5273,양품
5.1345,-0.006,103.3333,0.0342,-1502.75,60.5,400.0,0.0,15.74,1213.0,5.3251,1.511,0.9082,3005.5,0.4368,9.2007,0.0121,4.7298,0.771,34.8655,양품
24.8064,-0.0062,45.0704,0.0426,-5443.0,67.8111,1.02,0.0473,15.76,144.7999,7.6145,0.0315,1.026,157.6283,1.9935,8.7947,0.0915,6.659,0.7388,15.1936,양품
27.6182,-0.0037,92.2034,0.0518,-5668.0,64.0,1.7957,0.1419,15.66,59.2565,4.9451,0.0405,0.9318,160.0125,1.853,9.3851,0.0534,4.3733,0.7454,12.3818,양품
20.5864,-0.0069,70.6306,0.0428,-6274.75,66.2556,3.3483,0.1419,15.66,332.6584,4.4596,0.0763,0.9318,85.5117,1.8835,10.9634,0.0772,3.7462,0.7454,19.4136,양품
27.6655,-0.0051,101.4634,0.0389,-5609.5,61.7667,2.8822,0.0473,15.76,261.5754,5.2551,0.0643,1.026,226.7532,1.8678,9.3851,0.0916,4.7168,0.7388,12.3345,양품
29.0264,-0.0056,42.5721,0.0385,-6487.25,65.7333,1.5282,0.7569,15.68,265.8276,4.6683,0.0356,0.894,138.3652,1.8753,9.094,0.0725,3.5348,0.786,10.9736,양품
27.7364,-0.0066,85.3333,0.0175,-6361.5,66.9778,3.5826,0.0,15.74,229.9993,3.9228,0.0814,0.9082,262.1558,1.8895,10.9634,0.0141,2.9782,0.771,12.2636,양품
24.8282,-0.0059,64.6809,0.0481,-6514.0,61.6444,4.9208,0.7569,15.68,331.9693,4.1939,0.1015,0.894,161.0756,1.882,9.1638,0.0706,3.885,0.786,15.1718,양품
24.6118,-0.0064,73.0097,0.0431,-6541.25,65.4333,4.5916,0.7569,15.68,256.6663,3.7815,0.0967,0.894,235.0736,1.8858,9.094,0.0918,4.2609,0.786,15.3882,양품
27.7155,-0.0075,27.8607,0.038,-5147.25,62.9667,1.1212,0.7569,15.68,193.1638,4.2139,0.0332,0.894,547.3855,1.983,9.094,0.0488,4.0444,0.786,12.2845,양품
23.7864,-0.0068,49.8168,0.0447,-6485.5,63.6444,1.1615,0.0473,15.76,296.3376,4.8339,0.0292,1.026,188.0257,1.888,9.1638,0.0716,4.3231,0.7388,16.2136,양품
20.6,-0.0054,127.4827,0.0113,-5409.0,68.3333,2.7335,-0.1419,15.64,135.9764,5.5196,0.0838,1.012,296.1948,1.9937,8.9336,0.0178,5.0758,0.6925,19.4,양품
29.7509,-0.005,151.5152,0.016,-6463.0,67.4,3.7838,0.0473,15.76,300.9729,3.8059,0.0785,1.026,159.7561,1.8718,8.6667,-0.0055,3.9,0.7388,10.2491,양품
23.9945,-0.0066,66.7932,0.0397,-5301.0,63.3556,1.2862,0.0,15.74,195.3885,5.4282,0.0459,0.9082,129.2878,1.9775,9.2658,0.085,5.2102,0.771,16.0055,양품
16.7909,-0.0055,78.0045,0.0362,-5401.75,70.1667,4.0506,-0.1419,15.64,241.1602,5.6383,0.1219,1.012,93.6425,2.019,8.7495,0.0516,4.9724,0.6925,23.2091,양품
23.7136,-0.0057,68.5714,0.0471,-6470.75,64.6556,3.3618,0.0473,15.76,264.0543,5.8419,0.0794,1.026,297.0874,1.8893,10.9634,0.0603,5.3776,0.7388,16.2864,양품
18.5764,-0.004,65.2038,0.0327,-5432.75,60.2667,2.3584,0.0,15.74,73.4909,4.4137,0.0697,0.9082,322.4101,1.9748,9.2405,0.0209,4.0772,0.771,21.4236,불량
24.2918,-0.0051,136.9193,0.0389,-5856.75,62.2111,3.2679,0.0473,15.76,338.4977,6.0972,0.0694,1.026,1716.0853,1.8845,9.1638,0.0659,4.8959,0.7388,15.7082,양품
25.5127,-0.0044,77.2727,0.0151,-5657.75,64.7111,2.5561,-0.1419,15.64,196.8474,4.3933,0.0821,1.012,328.8539,1.97,9.094,0.0271,3.2554,0.6925,14.4873,양품
26.7064,-0.0062,54.6185,0.0465,-5560.75,63.9444,0.8822,0.0,15.74,63.4849,4.8126,0.0263,0.9082,329.8428,1.9817,9.2658,0.0726,3.7001,0.771,13.2936,양품
8.9136,-0.0039,93.9683,0.0373,-5474.25,65.7778,2.6914,-0.3311,15.73,143.1712,4.0809,0.091,1.087,109.1402,1.9945,10.6376,0.0599,3.8329,0.7681,31.0864,양품
8.9418,-0.0017,301.4493,0.0121,-5600.5,68.2556,2.4273,-0.1419,15.65,137.3496,5.1314,0.0863,0.9838,230.26,1.977,9.6272,0.0059,4.0049,0.7193,31.0582,양품
6.9918,-0.0057,58.1498,0.0441,-6068.75,67.1778,3.1168,-0.1419,15.64,329.3047,4.291,0.0404,1.012,1103.7634,1.779,10.0686,0.0515,3.9116,0.6925,33.0082,양품
16.6036,-0.0062,77.1084,0.0297,-5306.5,67.5778,2.1063,0.6623,15.8,176.6831,5.4277,0.0716,0.9176,249.8059,1.9827,9.6272,0.0,4.5818,0.6956,23.3964,양품
16.5255,-0.0017,243.4783,0.0397,-6030.25,63.1444,1.4219,-0.0946,15.74,233.9288,5.0727,0.0426,1.035,890.0589,1.9933,9.2405,0.0073,4.635,0.761,23.4745,양품
29.1918,-0.005,88.665,0.0162,-5653.75,65.4778,3.1533,-0.3784,15.74,394.0621,5.9941,0.101,1.021,105.56,2.0232,8.7947,0.0088,5.0146,0.7429,10.8082,양품
10.08,-0.004,82.243,0.041,-5418.25,61.8778,2.4265,0.6623,15.8,276.7303,4.9691,0.083,0.9176,511.4224,1.9705,9.0998,0.0427,3.6691,0.6956,29.92,양품
3.9055,-0.0068,61.7647,0.0164,-5641.25,61.8333,0.8325,0.7569,15.68,201.6538,4.3009,0.0248,0.894,123.6888,1.9843,9.2405,0.0288,4.0249,0.786,36.0945,양품
26.6527,-0.0059,79.661,0.0272,-5538.5,68.4333,2.856,0.3311,15.7,209.6481,7.4134,0.0883,1.272,157.5108,2.0003,8.7947,0.0268,6.3787,0.7636,13.3473,양품
17.6864,-0.0047,113.0667,0.0134,-5261.75,66.9333,3.1468,-0.0946,15.74,50.2419,5.7063,0.1021,1.035,142.3713,1.993,8.9336,0.0242,4.8705,0.761,22.3136,양품
15.0182,-0.0059,62.5793,0.0147,-5587.75,61.6778,4.5831,-0.0946,15.74,235.8679,4.593,0.145,1.035,385.1401,1.9705,9.2658,0.0033,4.1891,0.761,24.9818,양품
15.7936,-0.0056,89.6861,0.0126,-5531.5,69.3333,1.877,-0.0946,15.74,153.7495,4.0226,0.0621,1.035,262.4481,2.0303,8.7495,0.0006,3.2244,0.761,24.2064,양품
6.6636,-0.0067,44.8598,0.0446,-5456.25,67.6333,1.885,0.0,15.74,212.4068,5.0305,0.0605,0.9082,248.3967,1.9972,9.6272,0.0234,3.5428,0.771,33.3364,불량
10.2109,-0.0045,93.3333,0.0405,-5683.75,63.2778,3.2999,0.6623,15.8,107.0296,5.1929,0.0983,0.9176,257.6436,2.0173,9.1502,0.0418,4.9759,0.6956,29.7891,양품
-19.1518,-0.0056,52.0179,0.0283,-6563.75,66.0556,2.8412,,,362.3189,4.9213,0.0384,,1249.2297,1.8005,8.8388,0.0037,3.7845,,39.1518,양품
