sensor_060,sensor_104,sensor_511,sensor_349,sensor_022,sensor_029,sensor_437,sensor_130,sensor_125,sensor_296,sensor_317,sensor_301,sensor_126,sensor_295,sensor_027,sensor_034,sensor_080,sensor_453,sensor_131,sensor_065,sensor_128,sensor_023,sensor_124,sensor_520,sensor_438,sensor_015,sensor_134,sensor_388,sensor_558,sensor_057,sensor_201,sensor_461,sensor_064,sensor_472,sensor_456,sensor_478,sensor_059,sensor_077,sensor_469,sensor_366,sensor_127,sensor_512,sensor_066,sensor_091,sensor_338,sensor_470,sensor_039,sensor_033,sensor_570,sensor_069,result
27.8373,-0.0056,87.1111,0.0167,-2727.5,68.7111,200.8486,-0.5677,15.71,1620.7332,5.2778,1.769,0.946,3153.6764,0.8847,8.659,-0.0002,4.4107,0.778,12.1627,0.5328,1400.0,15.73,12.5838,3.2018,11.8566,993.1274,0.0,1.1944,0.9241,17.24,30.2973,7.8579,9.4525,3.2242,8.8454,4.4828,-0.053,14.6207,0.0038,3.027,0.0,16.9061,8476.17,1.0726,5.5003,84.7327,84.7569,15.4411,144.5955,불량
25.0836,-0.0059,67.9406,0.037,-6097.75,64.7667,3.3943,-0.5677,15.86,255.566,4.6853,0.043,0.9082,1081.3385,1.7695,9.6234,0.0035,4.1797,0.8038,14.9164,0.4467,2808.0,15.89,9.6888,3.5512,9.1084,997.4308,0.0,0.5671,0.9316,13.78,34.1207,9.4424,11.0886,4.8339,8.3929,4.6275,-0.0947,8.2922,0.0119,2.78,0.0,21.6833,8789.5001,0.6579,5.7185,86.9476,85.4274,13.0129,144.17,불량
22.6227,-0.0075,94.8247,0.0156,-5521.25,63.3778,0.743,-0.4731,15.84,133.5649,5.2108,0.024,0.8089,444.4295,2.0107,8.6789,0.004,4.4238,0.7589,17.3773,0.4162,2592.75,15.89,6.8582,2.6823,8.4828,995.1991,0.0,1.9735,0.9139,17.96,30.9721,11.0227,7.7847,3.4752,4.5258,4.5873,-0.0728,31.4286,0.0091,2.854,0.0,25.5177,7889.72,1.9911,6.0129,86.6867,84.9105,,142.5155,양품
-1.1927,-0.0047,55.0265,0.0473,-6069.75,67.9889,2.2787,0.0,15.8,266.8562,6.4674,0.0303,0.8467,1073.8102,1.7822,8.7977,0.0298,6.0827,0.7661,21.1927,0.511,2858.25,15.81,,5.1479,9.7686,998.4607,0.0,1.5411,0.9251,12.63,34.3904,12.64,9.5918,2.8369,4.3639,4.6164,-0.0377,299.314,0.0091,2.572,0.0,24.2607,8889.3,1.1474,5.5658,86.6693,83.7998,23.8168,145.2836,양품
17.6382,-0.0041,125.5385,0.0428,-1431.5,62.5,400.0,0.0,15.8,1239.0,4.9515,1.5345,0.8467,2863.0,0.439,9.2007,0.0573,5.2329,0.7661,22.3618,0.511,619.5,15.81,39.1058,3.52,9.7561,998.4607,0.0,1.3017,0.9323,17.34,24.2101,10.2273,6.1078,3.1345,5.096,4.5924,-0.0617,22.1678,0.0038,2.572,728.8889,28.1392,8651.3099,1.2491,4.3078,88.3312,85.0922,,150.1191,불량
20.4209,-0.0031,263.4538,0.0449,-2694.75,61.2333,203.9557,-0.0473,15.82,1768.6406,4.9296,1.7229,0.8987,3129.8922,0.8882,9.2007,0.0643,4.1316,0.7446,19.5791,0.5158,1476.25,15.85,15.0519,4.736,12.4364,1004.8054,0.0,1.1509,0.9324,10.4,21.2039,5.9718,6.137,3.2897,8.0698,4.6135,-0.056,15.1805,0.0048,2.77,0.0,24.8005,8907.68,1.0242,4.0537,88.3312,85.0922,,150.3127,양품
-8.1182,-0.0071,68.5315,0.0113,-5757.25,63.3556,3.8793,-0.0473,15.82,96.8035,6.5511,0.1296,0.8987,301.6514,2.0055,9.1283,-0.0353,5.6105,0.7446,28.1182,0.5158,2675.75,15.85,,4.893,12.1805,1004.8054,0.0,1.2759,0.9231,15.7,19.4794,16.6636,7.5067,2.7182,4.1477,4.5554,-0.025,31.9037,0.0063,2.77,444.4444,37.6915,8581.6799,0.6749,3.4592,86.2537,86.3472,19.9909,150.2055,양품
-5.5327,-0.0066,89.7338,0.0225,-5612.5,60.2444,2.2842,-0.0473,15.82,145.962,5.8924,0.0383,0.8987,733.2587,1.7835,8.5762,-0.0423,5.3063,0.7446,25.5327,0.5158,3417.75,15.85,,4.1498,10.0002,1004.8054,0.0,,0.9231,11.45,21.098,9.6391,6.2616,2.6989,4.2575,4.5554,-0.0176,88.5639,0.0056,2.77,0.0,34.0855,9100.62,1.4931,4.5814,87.4811,85.0465,18.6964,153.6109,양품
0.4836,-0.0052,102.9126,0.0185,-5575.25,66.2,0.8776,-0.4258,15.84,279.3486,6.8608,0.0296,1.045,441.7317,1.9803,8.6397,-0.0156,6.1211,0.7785,19.5164,0.5323,2755.5,15.87,,3.9275,8.4061,1006.4594,0.0,1.9857,0.9231,17.69,20.4401,11.7073,7.2194,2.7428,3.9691,4.5554,-0.0132,0.0,0.0061,2.582,0.0,26.2174,9242.01,1.7522,5.5904,86.7217,85.3498,16.3603,149.9064,양품
22.4736,-0.0016,349.2063,0.0429,-5469.25,65.0778,3.4856,-0.4258,15.84,171.1695,5.2005,0.1167,1.045,432.2865,2.0157,8.6789,0.0673,4.4555,0.7785,17.5264,0.5323,2685.5,15.87,6.0454,2.7659,13.3419,1006.4594,0.0,1.7842,0.9139,10.43,23.213,9.9538,7.952,3.2538,18.3408,4.5873,-0.0727,27.8104,0.0045,2.582,250.7463,22.8371,8769.58,1.7887,6.8351,86.6867,84.9105,,147.6491,양품
3.97,-0.0051,87.8049,0.0268,-5441.0,67.2,3.0524,-0.4258,15.84,181.3781,7.2532,0.1039,1.045,103.8813,1.97,8.6572,0.0308,6.1184,0.7785,16.03,0.5323,2547.0,15.87,,2.2321,11.9224,1006.4594,0.0,0.7907,0.9267,11.21,22.8688,9.8192,6.2285,2.6905,6.5183,4.4913,-0.008,112.3426,0.0043,2.582,0.0,22.4489,9605.01,1.5802,6.7704,86.6078,85.7939,10.397,142.5227,양품
0.12,-0.0092,64.3929,0.0241,-5434.0,65.1667,2.6823,-0.4258,15.84,175.7811,6.7289,0.0817,1.045,430.2875,2.0095,8.6397,0.0042,5.9383,0.7785,19.88,0.5323,2617.5,15.87,,3.376,13.6262,1006.4594,0.0,2.1258,0.9267,17.51,31.3987,11.5491,5.985,2.7682,5.817,4.4913,0.0054,0.0,0.0108,2.582,840.0,27.2876,9233.7999,1.8395,5.4799,86.7217,85.3498,24.1277,143.2009,양품
-3.6564,-0.0072,42.9066,0.0315,-5310.25,66.3556,2.4268,0.0473,15.88,185.2647,6.6914,0.0851,1.087,286.4628,1.9715,8.6397,0.0498,5.9722,0.7777,23.6564,0.4999,2717.5,15.91,,3.9183,15.4346,1006.8463,0.0,1.775,0.9231,16.13,38.7618,10.1218,5.0569,2.6647,4.4621,4.5554,-0.0442,158.901,0.0041,2.631,781.3953,31.9128,8189.1601,1.8127,4.5359,86.7217,85.3498,18.1074,155.3091,양품
18.3936,-0.0108,60.1156,0.0386,-2664.25,62.5,205.0885,-0.4731,16.03,1834.1299,5.1588,1.7144,0.9838,3088.6554,0.8915,9.2007,0.0405,5.4097,0.8093,21.6064,0.5088,1542.0,16.04,55.1651,5.44,11.6229,1010.834,0.0,1.2205,0.9323,16.72,25.905,13.1691,5.8277,3.1906,4.2732,4.5924,-0.0748,18.1585,0.0064,2.671,0.0,29.3176,8621.49,0.9001,4.6696,88.3312,85.0922,,146.9618,불량
15.3536,-0.0076,60.3279,0.0502,-2681.75,64.6778,202.158,0.0946,15.7,1731.3645,5.7899,1.6589,0.7285,3096.6188,0.8862,8.7487,0.0602,5.2309,0.8743,24.6464,0.3395,1496.25,15.73,4.8108,2.1646,4.704,996.2552,0.0,2.066,0.9296,11.37,33.162,15.3809,10.3624,2.509,4.0729,4.5715,-0.0467,21.6235,0.0081,2.955,0.0,33.5962,8592.1301,1.2514,5.796,88.2425,84.0432,,150.7536,양품
2.9964,-0.0071,65.8494,0.0125,-2706.0,67.0333,205.1004,-0.615,16.01,1702.5621,5.196,1.8123,0.9365,3151.2826,0.8895,8.6942,0.0064,4.0309,0.7839,17.0036,0.5212,1445.75,16.04,,2.2377,10.6611,1013.0161,0.0,0.7598,0.9326,11.35,18.1568,16.7209,4.8438,3.0084,6.8058,4.6879,-0.0188,161.5291,0.0057,2.685,164.7059,24.7224,8753.19,1.4067,4.5767,86.8448,85.0716,24.8352,148.11,양품
-6.9155,-0.0062,48.0962,0.0131,-5611.75,68.0333,2.7947,-0.615,16.01,307.8943,5.45,0.0931,0.9365,243.4904,2.0137,9.7997,0.0055,5.1047,0.7839,26.9155,0.5212,2736.25,16.04,,3.9686,14.8136,1013.0161,0.0,,0.9324,19.84,15.4569,19.5391,7.1962,4.7225,2.1242,4.5894,-0.0702,76.6399,0.0054,2.685,485.7143,34.5361,9381.19,1.6294,5.2065,87.5241,84.9052,30.4914,152.5282,양품
17.3873,-0.0078,69.6774,0.0461,-5369.0,62.8889,3.0617,-0.0473,16.05,177.2362,4.4239,0.0958,0.9554,190.1736,2.0017,8.9336,0.0615,4.0379,0.6287,22.6127,0.5765,2732.0,15.99,6.9757,6.0424,5.7692,1009.9942,0.0,0.5048,0.933,13.36,30.4356,9.3895,6.4521,2.7888,5.7628,4.6476,-0.0415,37.4986,0.0078,3.002,0.0,27.4102,8608.34,2.0018,5.9624,86.8595,84.3324,23.5268,143.3318,양품
13.1136,-0.0087,60.6581,0.0539,-5217.5,66.1667,2.7974,-0.615,16.01,334.9113,4.1865,0.0388,0.9365,305.296,1.802,8.8388,0.0775,3.9272,0.7839,26.8864,0.5212,3015.25,16.04,12.6112,2.4181,11.3083,1013.0161,0.0,1.7557,0.933,14.76,15.5713,13.3609,7.2863,2.6842,5.8357,4.6476,-0.0633,48.3466,0.0075,2.685,520.6349,37.2145,8883.0601,2.1842,4.6167,85.1414,84.7166,16.4792,142.5709,양품
14.7073,-0.0112,51.8436,0.0487,-5416.0,65.6333,2.5445,-0.0473,15.93,259.6344,6.2102,0.0841,0.6055,117.6124,1.9817,8.7588,0.0602,5.9652,0.8139,25.2927,0.4429,2588.0,15.96,13.4497,7.4657,6.8715,1011.7456,0.0,0.2987,0.9287,9.73,24.6564,8.2273,11.4559,2.4263,6.1651,4.5459,-0.058,44.8078,0.004,3.124,0.0,31.4769,8563.6299,1.6941,4.7002,88.3548,85.6039,15.6756,147.6055,양품
29.5109,-0.0098,49.1677,0.056,-5500.5,68.6444,1.6694,-0.0473,16.05,172.3359,4.6253,0.0584,0.9554,243.9242,1.9888,23.3453,0.0729,4.2183,0.6287,10.4891,0.5765,2739.5,15.99,6.3198,2.6222,7.3997,1009.9942,0.0,1.0184,0.9326,18.72,24.998,11.3609,6.7643,3.0066,4.0444,4.6879,-0.067,30.2939,0.0068,3.002,552.381,16.8198,8176.35,2.5845,5.2123,86.9275,101.9072,,145.3855,양품
13.1482,-0.0093,59.4595,0.0463,-5497.75,65.3667,2.7617,-0.615,16.01,116.7144,5.8491,0.092,0.9365,131.5862,1.9773,8.8033,0.079,5.3702,0.7839,26.8518,0.5212,2535.75,16.04,32.9064,6.2723,11.3994,1013.0161,0.0,2.1265,0.9287,12.78,18.6965,10.3808,11.5871,2.7143,4.6964,4.5459,-0.0724,41.2985,0.004,2.685,0.0,33.6192,7397.31,1.5435,6.1748,88.2847,83.9737,23.2076,148.6245,양품
-3.3864,-0.0087,67.6218,0.0311,-5507.75,62.6667,2.1129,0.0946,15.87,172.5097,5.3701,0.0613,0.3122,274.026,1.9745,9.1283,0.032,4.3122,0.8884,23.3864,0.3924,2637.25,15.85,,5.4255,11.6646,1010.4833,0.0,2.1444,0.9238,20.02,16.2616,18.9564,5.2224,3.1249,5.3197,4.6188,0.0041,256.6174,0.0055,2.947,0.0,30.6289,8524.3801,2.1732,5.1579,86.2537,86.3472,22.9553,151.1364,양품
4.4036,-0.0084,37.9822,0.027,-2622.5,65.4556,202.3184,0.0946,15.87,1820.9743,4.6444,1.7684,0.3122,3040.1658,0.8912,8.8249,0.0567,4.0516,0.8884,15.5964,0.3924,1550.0,15.85,,3.3611,9.5945,1010.4833,0.0,1.6641,0.9326,13.99,25.2445,18.5418,5.0256,3.221,4.6098,4.6879,-0.0192,54.5004,0.0059,2.947,691.8919,21.199,8955.3,0.7509,4.6224,86.8889,85.6591,33.2372,147.5127,양품
17.5473,-0.0093,78.7062,0.0433,-6010.25,66.8889,3.1142,-0.0473,15.93,240.0783,4.6263,0.0437,0.6055,993.652,1.7778,8.9336,0.0543,4.0999,0.8139,22.4527,0.4429,2805.75,15.96,20.9069,3.7375,7.203,1011.7456,0.0,0.9456,0.9334,17.57,33.6292,10.2673,8.63,2.7643,4.4298,4.6097,-0.0692,40.8611,0.0095,3.124,0.0,32.0705,8892.11,2.3754,4.8676,86.8595,84.3324,17.3403,144.0236,양품
-10.1245,-0.006,95.0,0.0337,-5548.0,66.4778,1.6897,0.0946,15.87,51.9102,4.5125,0.0534,0.3122,242.4967,2.0092,10.0686,0.0122,4.2166,0.8884,30.1245,0.3924,2637.0,15.85,,3.0085,4.5248,1010.4833,0.0,0.9005,0.9313,11.75,15.6292,24.2354,7.8205,3.1876,4.3614,4.5873,0.0196,59.4595,0.0046,2.947,581.8182,39.5532,8344.05,1.8141,5.0673,87.3997,85.2487,37.6321,151.0973,양품
13.9782,-0.0091,75.513,0.0466,-1362.0,65.2667,400.0,-0.0473,15.93,1420.5,4.5344,1.4395,0.6055,2724.0,0.4407,8.7588,0.0688,4.3818,0.8139,26.0218,0.4429,710.25,15.96,4.9154,4.5965,7.4758,1011.7456,0.0,2.0791,0.933,16.75,21.3059,11.68,7.4159,2.7994,6.0235,4.6476,-0.0636,47.3595,0.0069,3.124,0.0,31.3313,9364.7399,2.003,5.4704,88.3548,85.6039,,143.9373,양품
13.4891,-0.0087,57.2246,0.0438,-5452.75,65.2222,0.8808,-0.0473,15.93,118.9856,5.9735,0.0264,0.6055,253.4106,1.9728,8.7588,0.0536,5.6377,0.8139,26.5109,0.4429,2574.25,15.96,6.4745,7.3595,5.804,1011.7456,0.0,2.0344,0.9287,17.24,18.8415,9.9827,11.3992,2.3161,6.9725,4.5459,-0.0585,51.1524,0.0039,3.124,0.0,32.8848,8832.0102,1.9675,4.58,88.3548,85.6039,13.8959,148.87,양품
24.9027,-0.0033,172.0755,0.0433,-5493.75,68.3222,3.076,-0.0473,15.93,116.2999,4.0902,0.1222,0.6055,34.0722,2.0135,8.659,0.0549,3.9054,0.8139,15.0973,0.4429,2550.5,15.96,5.7587,3.22,5.4971,1011.7456,0.0,35.5806,0.9139,19.62,26.0692,10.8518,8.1255,3.2063,6.9238,4.5873,-0.0608,13.4523,0.0067,3.124,646.5753,22.6227,8660.4701,1.2445,7.2385,84.7327,84.7569,,143.4191,불량
23.4736,-0.0093,40.7507,0.0309,-5525.5,70.5111,0.7846,-1.108,15.96,260.8184,5.4109,0.0281,1.483,77.9081,2.0092,23.3453,0.0024,3.8916,0.8142,16.5264,0.545,2684.25,16.01,5.8423,4.5383,5.2868,1013.5244,0.0,1.903,0.9326,25.1,26.9186,16.3172,5.9709,2.9104,2.6882,4.6879,-0.0692,40.0023,0.0051,3.148,0.0,24.3206,9144.7999,2.708,5.0187,86.9275,101.9072,,145.82,양품
15.1509,-0.0085,75.2941,0.0428,-5085.25,63.5111,2.1657,-0.0473,15.93,2005.8744,4.1708,0.071,0.6055,876.6031,1.9875,9.1585,0.0593,3.923,0.8139,24.8491,0.4429,3493.75,15.96,14.7676,5.6683,6.4395,1011.7456,0.0,1.1895,0.933,17.38,30.7471,10.7536,5.9343,2.8618,5.1087,4.6476,-0.0505,25.939,0.0033,3.124,756.3636,30.1427,8416.3099,1.2764,5.9464,86.279,84.6216,27.8426,144.2645,불량
-2.6636,-0.0077,21.9709,0.0128,-5626.25,64.1778,2.004,0.0946,15.87,86.0867,5.8979,0.0641,0.3122,36.8273,1.987,8.6074,-0.0084,6.3399,0.8884,22.6636,0.3924,2776.75,15.85,,3.5838,5.7909,1010.4833,0.0,,0.9324,18.21,17.6569,16.9054,7.3418,4.7005,3.9721,4.5894,0.0275,230.5119,0.0043,2.947,0.0,30.0241,9029.42,1.8877,5.5149,86.7193,85.0724,25.7179,151.0518,양품
-2.4636,-0.0082,70.5167,0.0161,-6033.25,62.2889,2.1196,0.0946,15.87,87.9147,4.9579,0.0613,0.3122,1335.7012,1.97,9.1502,-0.0059,4.1468,0.8884,22.4636,0.3924,2642.5,15.85,,7.8666,5.109,1010.4833,0.0,1.2186,0.9238,12.85,20.9587,21.26,7.9705,3.2601,3.3684,4.6188,0.0387,200.5166,0.0053,2.947,0.0,30.3538,8586.46,1.5529,4.516,88.2074,85.6626,16.997,151.1118,양품
19.3136,-0.0088,42.1053,0.0528,-5415.75,69.0,2.4013,-1.204,16.1,72.7232,4.2384,0.0805,1.252,297.0492,2.0063,10.6376,0.0665,3.7729,0.8034,20.6864,0.5619,2569.0,15.95,7.4722,3.7681,5.5022,999.2814,0.005,2.376,0.934,16.06,44.2551,9.89,5.87,2.5851,7.128,4.6613,-0.1394,82.4805,0.004,2.734,247.4227,29.3844,9026.6399,4.4892,4.9578,87.5105,84.1874,,142.1155,양품
8.3045,-0.0068,76.8946,0.0189,-4731.0,60.8444,133.4481,-0.4258,15.83,1471.4602,5.5408,1.5487,1.125,3280.8927,1.3322,9.1585,0.0103,5.1372,0.7692,31.6955,0.5261,2148.5,15.9,8.038,5.588,5.3695,1001.9434,0.0,1.3801,0.93,23.16,12.5641,25.1263,7.8156,4.9132,4.665,4.6061,-0.0229,42.0252,0.0099,2.622,0.0,41.5512,8152.3899,1.2495,6.4341,86.279,84.6216,,151.9836,양품
5.03,-0.0056,113.0045,0.013,-5546.5,69.0667,0.9624,-0.4258,15.83,87.9825,5.3607,0.0335,1.125,134.7207,1.9992,10.6376,0.015,5.2595,0.7692,34.97,0.5261,2632.75,15.9,45.2088,2.751,5.1046,1001.9434,0.0,0.9743,0.93,21.82,14.6482,23.28,11.8626,4.6956,13.4098,4.6061,-0.0469,209.3439,0.0042,2.622,660.0,38.8982,8925.6301,3.3789,6.3675,87.5105,84.1874,20.0533,154.9609,불량
12.0945,-0.0071,41.0619,0.0165,-3281.0,63.1333,201.9788,0.0946,15.9,1770.0986,5.1749,1.6924,1.021,3882.2129,0.8885,8.7487,0.0155,4.9499,0.7484,27.9055,0.5835,1523.25,15.92,31.7398,3.4847,13.9864,1007.6964,0.0,1.4605,0.9324,21.91,21.1957,20.0673,7.7587,5.0581,5.2191,4.5894,-0.0263,56.3064,0.0047,2.564,0.0,36.6103,8621.6501,1.8839,6.5287,88.2425,84.0432,,151.9427,양품
23.1373,-0.008,42.7002,0.0253,-4667.25,61.8667,133.904,0.0946,15.9,1586.2346,4.9516,1.4797,1.021,3307.3123,1.3305,9.2007,0.0253,4.8677,0.7484,16.8627,0.5835,2265.5,15.92,4.7575,4.3642,5.1376,1007.6964,0.0,2.1793,0.9323,18.15,23.1448,6.8212,4.7941,3.0454,9.4939,4.5924,-0.009,40.9296,0.0045,2.564,740.7407,22.3489,8844.1101,2.6361,4.8492,88.3312,85.0922,,146.8309,양품
25.0382,-0.0091,96.9697,0.0235,-5300.25,69.0667,1.553,-1.108,15.96,262.8269,4.7265,0.0525,1.483,48.9583,2.0105,23.3453,0.0266,4.8263,0.8142,14.9618,0.545,2631.0,16.01,41.9486,2.6062,7.359,1013.5244,0.0,0.9068,0.9261,21.28,21.1771,9.691,4.1046,2.6706,13.2681,4.6332,-0.0548,37.9421,0.0084,3.148,745.4545,20.2052,8800.4,2.6724,5.0221,86.9275,101.9072,17.5247,148.7027,불량
23.3109,-0.0078,18.0064,0.0217,-5553.0,69.5556,1.6511,-0.4258,15.83,83.0682,5.1077,0.0511,1.125,318.781,2.0433,8.7495,0.0073,4.9748,0.7692,16.6891,0.5261,2616.5,15.9,9.0516,2.8754,4.7895,1001.9434,0.0,1.6419,0.93,12.39,35.1942,8.77,7.4755,4.8941,4.9295,4.6061,-0.0364,28.6561,0.0054,2.622,0.0,20.8271,9295.6198,1.6202,5.6929,86.7325,84.3585,,149.5082,불량
23.9555,-0.0094,49.0667,0.012,-5394.0,68.3556,2.5771,-0.4258,15.83,157.5423,5.5385,0.0791,1.125,75.7144,2.0032,23.3453,0.0148,5.7172,0.7692,16.0445,0.5261,2621.75,15.9,5.2585,3.8036,6.5073,1001.9434,0.0,,0.9342,22.08,26.7966,11.31,8.9455,4.8211,4.3641,4.6082,-0.0317,21.2478,0.0031,2.622,0.0,21.1546,9073.13,1.4343,6.1673,86.9275,101.9072,,148.7136,불량
21.39,-0.007,90.4847,0.0259,-2575.5,64.4222,200.9041,-0.1419,15.82,1791.2725,4.665,1.7243,0.9933,2980.3803,0.892,8.7487,0.0269,3.7214,0.7304,18.61,0.5598,1544.5,15.85,7.6097,3.8806,16.5926,1004.0281,0.0,0.8284,0.9238,13.48,39.9146,20.2036,7.164,3.0863,3.0761,4.6188,-0.0489,26.0402,0.0085,2.598,757.8947,26.658,8466.2299,1.7117,4.4499,88.2425,84.0432,12.0158,146.2882,양품
1.5882,-0.0075,67.8869,0.0169,-5175.5,67.2667,2.4382,-0.1419,15.82,96.4793,5.5737,0.0909,0.9933,362.8135,2.0,10.6376,0.0159,5.2825,0.7304,38.4118,0.5598,2589.75,15.85,64.9501,4.0139,3.5131,1004.0281,0.0,1.2808,0.9291,24.07,28.5384,33.8537,12.9409,2.3506,2.8513,4.6615,-0.0172,0.0,0.0052,2.598,548.5714,46.7625,9105.49,5.665,4.2638,87.5105,84.1874,,152.2136,양품
0.6782,-0.0078,50.0803,0.0184,-5545.0,64.0778,1.3659,0.0946,15.9,134.3577,4.3439,0.0474,1.021,206.3121,1.9772,8.8249,-0.0085,3.4653,0.7484,19.3218,0.5835,2624.0,15.92,,3.5894,13.4387,1007.6964,0.0,,0.9326,8.34,30.8126,16.6618,7.7033,3.1332,4.7511,4.6879,0.0262,828.6863,0.0039,2.564,433.7349,27.7301,9020.2799,1.7168,4.7199,86.8889,85.6591,9.2984,152.3864,양품
